,Date,Count
0,2021-11-01,6
1,2021-11-02,6
2,2021-11-03,7
3,2021-11-04,0
4,2021-11-05,2
5,2021-11-06,4
6,2021-11-07,0
7,2021-11-08,10
8,2021-11-09,7
9,2021-11-10,5
10,2021-11-11,6
11,2021-11-12,4
12,2021-11-13,4
13,2021-11-14,4
14,2021-11-15,2
15,2021-11-16,8
16,2021-11-17,2
17,2021-11-18,10
18,2021-11-19,1
19,2021-11-20,3
20,2021-11-21,1
21,2021-11-22,4
22,2021-11-23,4
23,2021-11-24,2
24,2021-11-25,1
25,2021-11-26,2
26,2021-11-27,9
27,2021-11-28,0
28,2021-11-29,4
29,2021-11-30,3
30,2021-12-01,3
31,2021-12-02,6
32,2021-12-03,1
33,2021-12-04,2
34,2021-12-05,5
35,2021-12-06,1
36,2021-12-07,1
37,2021-12-08,3
38,2021-12-09,1
39,2021-12-10,5
40,2021-12-11,1
41,2021-12-12,1
42,2021-12-13,7
43,2021-12-14,1
44,2021-12-15,5
45,2021-12-16,1
46,2021-12-17,0
47,2021-12-18,0
48,2021-12-19,0
49,2021-12-20,2
50,2021-12-21,1
51,2021-12-22,1
52,2021-12-23,4
53,2021-12-24,2
54,2021-12-25,1
55,2021-12-26,1
56,2021-12-27,2
57,2021-12-28,0
58,2021-12-29,2
59,2021-12-30,3
60,2021-12-31,4
61,2022-01-01,0
62,2022-01-02,0
63,2022-01-03,9
64,2022-01-04,23
65,2022-01-05,32
66,2022-01-06,29
67,2022-01-07,29
68,2022-01-08,56
69,2022-01-09,37
70,2022-01-10,134
71,2022-01-11,186
72,2022-01-12,132
73,2022-01-13,128
74,2022-01-14,89
75,2022-01-15,266
76,2022-01-16,140
77,2022-01-17,404
78,2022-01-18,350
79,2022-01-19,435
80,2022-01-20,449
81,2022-01-21,532
82,2022-01-22,359
83,2022-01-23,242
84,2022-01-24,668
85,2022-01-25,526
86,2022-01-26,194
87,2022-01-27,455
88,2022-01-28,380
89,2022-01-29,326
90,2022-01-30,129
91,2022-01-31,328
92,2022-02-01,246
93,2022-02-02,237
94,2022-02-03,226
95,2022-02-04,196
96,2022-02-05,106
97,2022-02-06,58
98,2022-02-07,139
99,2022-02-08,105
100,2022-02-09,90
101,2022-02-10,77
102,2022-02-11,50
103,2022-02-12,42
104,2022-02-13,22
105,2022-02-14,62
106,2022-02-15,44
107,2022-02-16,49
108,2022-02-17,41
109,2022-02-18,44
110,2022-02-19,26
111,2022-02-20,9
112,2022-02-21,34
113,2022-02-22,28
114,2022-02-23,31
115,2022-02-24,14
116,2022-02-25,16
117,2022-02-26,6
118,2022-02-27,5
119,2022-02-28,14
120,2022-03-01,12
121,2022-03-02,14
122,2022-03-03,5
123,2022-03-04,3
124,2022-03-05,5
125,2022-03-06,0
