,Date,Count
0,2021-11-01,296
1,2021-11-02,270
2,2021-11-03,276
3,2021-11-04,169
4,2021-11-05,239
5,2021-11-06,239
6,2021-11-07,137
7,2021-11-08,280
8,2021-11-09,247
9,2021-11-10,263
10,2021-11-11,251
11,2021-11-12,251
12,2021-11-13,221
13,2021-11-14,129
14,2021-11-15,253
15,2021-11-16,247
16,2021-11-17,250
17,2021-11-18,200
18,2021-11-19,190
19,2021-11-20,238
20,2021-11-21,91
21,2021-11-22,192
22,2021-11-23,207
23,2021-11-24,214
24,2021-11-25,142
25,2021-11-26,175
26,2021-11-27,123
27,2021-11-28,133
28,2021-11-29,140
29,2021-11-30,144
30,2021-12-01,187
31,2021-12-02,124
32,2021-12-03,143
33,2021-12-04,169
34,2021-12-05,101
35,2021-12-06,182
36,2021-12-07,150
37,2021-12-08,134
38,2021-12-09,146
39,2021-12-10,141
40,2021-12-11,112
41,2021-12-12,134
42,2021-12-13,141
43,2021-12-14,141
44,2021-12-15,131
45,2021-12-16,180
46,2021-12-17,130
47,2021-12-18,119
48,2021-12-19,75
49,2021-12-20,94
50,2021-12-21,114
51,2021-12-22,119
52,2021-12-23,113
53,2021-12-24,93
54,2021-12-25,56
55,2021-12-26,53
56,2021-12-27,103
57,2021-12-28,120
58,2021-12-29,115
59,2021-12-30,101
60,2021-12-31,192
61,2022-01-01,150
62,2022-01-02,156
63,2022-01-03,351
64,2022-01-04,475
65,2022-01-05,591
66,2022-01-06,844
67,2022-01-07,1167
68,2022-01-08,1254
69,2022-01-09,988
70,2022-01-10,2198
71,2022-01-11,2837
72,2022-01-12,3274
73,2022-01-13,3238
74,2022-01-14,2348
75,2022-01-15,3390
76,2022-01-16,2709
77,2022-01-17,6982
78,2022-01-18,8072
79,2022-01-19,8339
80,2022-01-20,7929
81,2022-01-21,6897
82,2022-01-22,5580
83,2022-01-23,2277
84,2022-01-24,5902
85,2022-01-25,4189
86,2022-01-26,1951
87,2022-01-27,3677
88,2022-01-28,2861
89,2022-01-29,2294
90,2022-01-30,910
91,2022-01-31,1811
92,2022-02-01,1486
93,2022-02-02,1028
94,2022-02-03,1019
95,2022-02-04,739
96,2022-02-05,446
97,2022-02-06,256
98,2022-02-07,557
99,2022-02-08,431
100,2022-02-09,315
101,2022-02-10,294
102,2022-02-11,267
103,2022-02-12,172
104,2022-02-13,79
105,2022-02-14,198
106,2022-02-15,66
107,2022-02-16,55
108,2022-02-17,47
109,2022-02-18,46
110,2022-02-19,29
111,2022-02-20,13
112,2022-02-21,28
113,2022-02-22,36
114,2022-02-23,25
115,2022-02-24,32
116,2022-02-25,18
117,2022-02-26,11
118,2022-02-27,11
119,2022-02-28,13
120,2022-03-01,12
121,2022-03-02,9
122,2022-03-03,6
123,2022-03-04,7
124,2022-03-05,2
125,2022-03-06,2
