,Date,Count
0,2021-11-01,4
1,2021-11-02,9
2,2021-11-03,7
3,2021-11-04,2
4,2021-11-05,5
5,2021-11-06,4
6,2021-11-07,2
7,2021-11-08,3
8,2021-11-09,4
9,2021-11-10,6
10,2021-11-11,3
11,2021-11-12,2
12,2021-11-13,4
13,2021-11-14,3
14,2021-11-15,1
15,2021-11-16,4
16,2021-11-17,1
17,2021-11-18,16
18,2021-11-19,4
19,2021-11-20,3
20,2021-11-21,3
21,2021-11-22,3
22,2021-11-23,5
23,2021-11-24,2
24,2021-11-25,6
25,2021-11-26,5
26,2021-11-27,3
27,2021-11-28,5
28,2021-11-29,2
29,2021-11-30,0
30,2021-12-01,4
31,2021-12-02,7
32,2021-12-03,0
33,2021-12-04,1
34,2021-12-05,6
35,2021-12-06,7
36,2021-12-07,6
37,2021-12-08,9
38,2021-12-09,17
39,2021-12-10,12
40,2021-12-11,8
41,2021-12-12,23
42,2021-12-13,6
43,2021-12-14,16
44,2021-12-15,5
45,2021-12-16,5
46,2021-12-17,8
47,2021-12-18,6
48,2021-12-19,6
49,2021-12-20,5
50,2021-12-21,3
51,2021-12-22,17
52,2021-12-23,9
53,2021-12-24,13
54,2021-12-25,10
55,2021-12-26,28
56,2021-12-27,26
57,2021-12-28,47
58,2021-12-29,77
59,2021-12-30,132
60,2021-12-31,158
61,2022-01-01,281
62,2022-01-02,352
63,2022-01-03,344
64,2022-01-04,992
65,2022-01-05,1560
66,2022-01-06,2379
67,2022-01-07,3048
68,2022-01-08,4526
69,2022-01-09,5022
70,2022-01-10,4737
71,2022-01-11,5908
72,2022-01-12,6413
73,2022-01-13,6393
74,2022-01-14,6541
75,2022-01-15,6325
76,2022-01-16,5410
77,2022-01-17,3526
78,2022-01-18,4551
79,2022-01-19,4063
80,2022-01-20,3475
81,2022-01-21,3009
82,2022-01-22,3003
83,2022-01-23,2768
84,2022-01-24,1821
85,2022-01-25,2362
86,2022-01-26,2120
87,2022-01-27,1034
88,2022-01-28,1654
89,2022-01-29,1302
90,2022-01-30,1238
91,2022-01-31,748
92,2022-02-01,824
93,2022-02-02,799
94,2022-02-03,655
95,2022-02-04,496
96,2022-02-05,442
97,2022-02-06,295
98,2022-02-07,235
99,2022-02-08,273
100,2022-02-09,281
101,2022-02-10,247
102,2022-02-11,236
103,2022-02-12,174
104,2022-02-13,193
105,2022-02-14,99
106,2022-02-15,159
107,2022-02-16,123
108,2022-02-17,125
109,2022-02-18,91
110,2022-02-19,71
111,2022-02-20,60
112,2022-02-21,34
113,2022-02-22,90
114,2022-02-23,53
115,2022-02-24,48
116,2022-02-25,49
117,2022-02-26,50
118,2022-02-27,59
119,2022-02-28,29
120,2022-03-01,33
121,2022-03-02,32
122,2022-03-03,41
123,2022-03-04,30
124,2022-03-05,18
125,2022-03-06,28
