,Date,Count
0,2021-11-01,809
1,2021-11-02,809
2,2021-11-03,1078
3,2021-11-04,1193
4,2021-11-05,1134
5,2021-11-06,0
6,2021-11-07,661
7,2021-11-08,892
8,2021-11-09,693
9,2021-11-10,982
10,2021-11-11,2091
11,2021-11-12,925
12,2021-11-13,0
13,2021-11-14,999
14,2021-11-15,956
15,2021-11-16,686
16,2021-11-17,886
17,2021-11-18,1003
18,2021-11-19,963
19,2021-11-20,906
20,2021-11-21,833
21,2021-11-22,298
22,2021-11-23,656
23,2021-11-24,766
24,2021-11-25,960
25,2021-11-26,0
26,2021-11-27,466
27,2021-11-28,889
28,2021-11-29,832
29,2021-11-30,0
30,2021-12-01,1214
31,2021-12-02,767
32,2021-12-03,796
33,2021-12-04,68
34,2021-12-05,782
35,2021-12-06,707
36,2021-12-07,1036
37,2021-12-08,181
38,2021-12-09,1682
39,2021-12-10,695
40,2021-12-11,807
41,2021-12-12,704
42,2021-12-13,569
43,2021-12-14,684
44,2021-12-15,925
45,2021-12-16,877
46,2021-12-17,902
47,2021-12-18,854
48,2021-12-19,902
49,2021-12-20,544
50,2021-12-21,825
51,2021-12-22,1201
52,2021-12-23,1179
53,2021-12-24,1410
54,2021-12-25,1485
55,2021-12-26,1648
56,2021-12-27,1426
57,2021-12-28,2172
58,2021-12-29,3900
59,2021-12-30,5368
60,2021-12-31,8067
61,2022-01-01,9170
62,2022-01-02,11877
63,2022-01-03,12160
64,2022-01-04,18466
65,2022-01-05,26538
66,2022-01-06,36265
67,2022-01-07,40925
68,2022-01-08,41434
69,2022-01-09,44388
70,2022-01-10,33470
71,2022-01-11,34424
72,2022-01-12,46723
73,2022-01-13,46406
74,2022-01-14,43211
75,2022-01-15,46205
76,2022-01-16,41327
77,2022-01-17,31111
78,2022-01-18,39207
79,2022-01-19,43697
80,2022-01-20,45932
81,2022-01-21,48270
82,2022-01-22,46393
83,2022-01-23,40805
84,2022-01-24,28286
85,2022-01-25,33914
86,2022-01-26,35756
87,2022-01-27,25425
88,2022-01-28,24948
89,2022-01-29,27971
90,2022-01-30,22444
91,2022-01-31,15140
92,2022-02-01,14372
93,2022-02-02,18067
94,2022-02-03,15252
95,2022-02-04,13840
96,2022-02-05,11394
97,2022-02-06,9666
98,2022-02-07,6436
99,2022-02-08,6107
100,2022-02-09,7142
101,2022-02-10,6248
102,2022-02-11,5455
103,2022-02-12,4359
104,2022-02-13,3502
105,2022-02-14,1966
106,2022-02-15,2831
107,2022-02-16,2748
108,2022-02-17,2797
109,2022-02-18,2068
110,2022-02-19,1635
111,2022-02-20,1437
112,2022-02-21,806
113,2022-02-22,1080
114,2022-02-23,1151
115,2022-02-24,1182
116,2022-02-25,973
117,2022-02-26,893
118,2022-02-27,782
119,2022-02-28,407
120,2022-03-01,675
121,2022-03-02,544
122,2022-03-03,467
123,2022-03-04,525
124,2022-03-05,535
125,2022-03-06,362
