,Date,Count
0,2021-11-01,5
1,2021-11-02,10
2,2021-11-03,16
3,2021-11-04,9
4,2021-11-05,11
5,2021-11-06,9
6,2021-11-07,3
7,2021-11-08,4
8,2021-11-09,12
9,2021-11-10,16
10,2021-11-11,6
11,2021-11-12,11
12,2021-11-13,5
13,2021-11-14,5
14,2021-11-15,0
15,2021-11-16,7
16,2021-11-17,12
17,2021-11-18,9
18,2021-11-19,18
19,2021-11-20,14
20,2021-11-21,8
21,2021-11-22,2
22,2021-11-23,5
23,2021-11-24,3
24,2021-11-25,19
25,2021-11-26,9
26,2021-11-27,4
27,2021-11-28,17
28,2021-11-29,5
29,2021-11-30,9
30,2021-12-01,10
31,2021-12-02,15
32,2021-12-03,76
33,2021-12-04,16
34,2021-12-05,10
35,2021-12-06,5
36,2021-12-07,8
37,2021-12-08,8
38,2021-12-09,6
39,2021-12-10,21
40,2021-12-11,4
41,2021-12-12,7
42,2021-12-13,3
43,2021-12-14,5
44,2021-12-15,7
45,2021-12-16,6
46,2021-12-17,3
47,2021-12-18,5
48,2021-12-19,4
49,2021-12-20,2
50,2021-12-21,2
51,2021-12-22,4
52,2021-12-23,1
53,2021-12-24,3
54,2021-12-25,4
55,2021-12-26,3
56,2021-12-27,1
57,2021-12-28,2
58,2021-12-29,10
59,2021-12-30,9
60,2021-12-31,1
61,2022-01-01,7
62,2022-01-02,7
63,2022-01-03,3
64,2022-01-04,10
65,2022-01-05,13
66,2022-01-06,27
67,2022-01-07,34
68,2022-01-08,45
69,2022-01-09,70
70,2022-01-10,112
71,2022-01-11,198
72,2022-01-12,322
73,2022-01-13,294
74,2022-01-14,385
75,2022-01-15,369
76,2022-01-16,313
77,2022-01-17,217
78,2022-01-18,374
79,2022-01-19,427
80,2022-01-20,368
81,2022-01-21,323
82,2022-01-22,344
83,2022-01-23,216
84,2022-01-24,115
85,2022-01-25,237
86,2022-01-26,206
87,2022-01-27,112
88,2022-01-28,165
89,2022-01-29,156
90,2022-01-30,127
91,2022-01-31,53
92,2022-02-01,98
93,2022-02-02,103
94,2022-02-03,62
95,2022-02-04,110
96,2022-02-05,82
97,2022-02-06,69
98,2022-02-07,33
99,2022-02-08,75
100,2022-02-09,41
101,2022-02-10,43
102,2022-02-11,28
103,2022-02-12,31
104,2022-02-13,17
105,2022-02-14,13
106,2022-02-15,20
107,2022-02-16,10
108,2022-02-17,11
109,2022-02-18,12
110,2022-02-19,12
111,2022-02-20,5
112,2022-02-21,3
113,2022-02-22,9
114,2022-02-23,8
115,2022-02-24,4
116,2022-02-25,9
117,2022-02-26,2
118,2022-02-27,2
119,2022-02-28,4
120,2022-03-01,4
121,2022-03-02,5
122,2022-03-03,2
123,2022-03-04,2
124,2022-03-05,6
125,2022-03-06,3
