,Date,Count
0,2021-11-01,725
1,2021-11-02,862
2,2021-11-03,919
3,2021-11-04,918
4,2021-11-05,763
5,2021-11-06,670
6,2021-11-07,723
7,2021-11-08,603
8,2021-11-09,788
9,2021-11-10,853
10,2021-11-11,854
11,2021-11-12,860
12,2021-11-13,872
13,2021-11-14,875
14,2021-11-15,782
15,2021-11-16,819
16,2021-11-17,862
17,2021-11-18,860
18,2021-11-19,877
19,2021-11-20,725
20,2021-11-21,727
21,2021-11-22,615
22,2021-11-23,720
23,2021-11-24,803
24,2021-11-25,758
25,2021-11-26,710
26,2021-11-27,701
27,2021-11-28,715
28,2021-11-29,511
29,2021-11-30,705
30,2021-12-01,668
31,2021-12-02,657
32,2021-12-03,608
33,2021-12-04,621
34,2021-12-05,620
35,2021-12-06,465
36,2021-12-07,507
37,2021-12-08,574
38,2021-12-09,567
39,2021-12-10,628
40,2021-12-11,610
41,2021-12-12,583
42,2021-12-13,418
43,2021-12-14,552
44,2021-12-15,554
45,2021-12-16,660
46,2021-12-17,580
47,2021-12-18,556
48,2021-12-19,565
49,2021-12-20,414
50,2021-12-21,440
51,2021-12-22,534
52,2021-12-23,516
53,2021-12-24,550
54,2021-12-25,552
55,2021-12-26,544
56,2021-12-27,439
57,2021-12-28,752
58,2021-12-29,1089
59,2021-12-30,2128
60,2021-12-31,3451
61,2022-01-01,4512
62,2022-01-02,6153
63,2022-01-03,6078
64,2022-01-04,9073
65,2022-01-05,14022
66,2022-01-06,15421
67,2022-01-07,18213
68,2022-01-08,18802
69,2022-01-09,24287
70,2022-01-10,19286
71,2022-01-11,21098
72,2022-01-12,22155
73,2022-01-13,23467
74,2022-01-14,22645
75,2022-01-15,19064
76,2022-01-16,14938
77,2022-01-17,9385
78,2022-01-18,10430
79,2022-01-19,11447
80,2022-01-20,10959
81,2022-01-21,9154
82,2022-01-22,9191
83,2022-01-23,6980
84,2022-01-24,4546
85,2022-01-25,4494
86,2022-01-26,4969
87,2022-01-27,3608
88,2022-01-28,3805
89,2022-01-29,3512
90,2022-01-30,3427
91,2022-01-31,1910
92,2022-02-01,2014
93,2022-02-02,2723
94,2022-02-03,1916
95,2022-02-04,1523
96,2022-02-05,1345
97,2022-02-06,835
98,2022-02-07,641
99,2022-02-08,736
100,2022-02-09,884
101,2022-02-10,817
102,2022-02-11,767
103,2022-02-12,672
104,2022-02-13,512
105,2022-02-14,320
106,2022-02-15,348
107,2022-02-16,439
108,2022-02-17,467
109,2022-02-18,319
110,2022-02-19,281
111,2022-02-20,278
112,2022-02-21,200
113,2022-02-22,236
114,2022-02-23,272
115,2022-02-24,246
116,2022-02-25,260
117,2022-02-26,236
118,2022-02-27,215
119,2022-02-28,89
120,2022-03-01,146
121,2022-03-02,153
122,2022-03-03,139
123,2022-03-04,125
124,2022-03-05,102
125,2022-03-06,90
