,Date,Count
0,2020-03-17,1
1,2020-03-18,0
2,2020-03-19,0
3,2020-03-20,1
4,2020-03-21,2
5,2020-03-22,3
6,2020-03-23,0
7,2020-03-24,2
8,2020-03-25,0
9,2020-03-26,1
10,2020-03-27,5
11,2020-03-28,3
12,2020-03-29,3
13,2020-03-30,1
14,2020-03-31,15
15,2020-04-01,0
16,2020-04-02,16
17,2020-04-03,0
18,2020-04-04,0
19,2020-04-05,27
20,2020-04-06,0
21,2020-04-07,11
22,2020-04-08,8
23,2020-04-09,4
24,2020-04-10,13
25,2020-04-11,10
26,2020-04-12,8
27,2020-04-13,18
28,2020-04-14,38
29,2020-04-15,23
30,2020-04-16,18
31,2020-04-17,24
32,2020-04-18,32
33,2020-04-19,23
34,2020-04-20,29
35,2020-04-21,53
36,2020-04-22,31
37,2020-04-23,33
38,2020-04-24,58
39,2020-04-25,57
40,2020-04-26,40
41,2020-04-27,38
42,2020-04-28,48
43,2020-04-29,28
44,2020-04-30,33
45,2020-05-01,37
46,2020-05-02,127
47,2020-05-03,276
48,2020-05-04,61
49,2020-05-05,85
50,2020-05-06,112
51,2020-05-07,92
52,2020-05-08,130
53,2020-05-09,108
54,2020-05-10,153
55,2020-05-11,124
56,2020-05-12,110
57,2020-05-13,117
58,2020-05-14,87
59,2020-05-15,84
60,2020-05-16,115
61,2020-05-17,101
62,2020-05-18,147
63,2020-05-19,137
64,2020-05-20,142
65,2020-05-21,94
66,2020-05-22,135
67,2020-05-23,127
68,2020-05-24,208
69,2020-05-25,149
70,2020-05-26,193
71,2020-05-27,183
72,2020-05-28,344
73,2020-05-29,277
74,2020-05-30,317
75,2020-05-31,371
76,2020-06-01,271
77,2020-06-02,396
78,2020-06-03,340
79,2020-06-04,368
80,2020-06-05,427
81,2020-06-06,435
82,2020-06-07,449
83,2020-06-08,426
84,2020-06-09,372
85,2020-06-10,343
86,2020-06-11,440
87,2020-06-12,476
88,2020-06-13,454
89,2020-06-14,389
90,2020-06-15,407
91,2020-06-16,415
92,2020-06-17,391
93,2020-06-18,435
94,2020-06-19,355
95,2020-06-20,441
96,2020-06-21,414
97,2020-06-22,413
98,2020-06-23,370
99,2020-06-24,445
100,2020-06-25,475
101,2020-06-26,542
102,2020-06-27,521
103,2020-06-28,572
104,2020-06-29,624
105,2020-06-30,652
106,2020-07-01,611
107,2020-07-02,649
108,2020-07-03,669
109,2020-07-04,743
110,2020-07-05,895
111,2020-07-06,861
112,2020-07-07,850
113,2020-07-08,986
114,2020-07-09,1088
115,2020-07-10,1198
116,2020-07-11,1344
117,2020-07-12,1560
118,2020-07-13,1435
119,2020-07-14,1390
120,2020-07-15,1589
121,2020-07-16,1690
122,2020-07-17,1894
123,2020-07-18,2198
124,2020-07-19,2278
125,2020-07-20,2282
126,2020-07-21,2261
127,2020-07-22,2291
128,2020-07-23,2436
129,2020-07-24,2216
130,2020-07-25,2404
131,2020-07-26,2341
132,2020-07-27,2112
133,2020-07-28,2134
134,2020-07-29,2294
135,2020-07-30,2434
136,2020-07-31,2496
137,2020-08-01,2589
138,2020-08-02,2739
139,2020-08-03,2716
140,2020-08-04,2752
141,2020-08-05,2816
142,2020-08-06,2954
143,2020-08-07,2912
144,2020-08-08,2949
145,2020-08-09,2939
146,2020-08-10,2905
147,2020-08-11,2931
